elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,309.38,1410,1215
0.011,308.51,1410,1215
0.021,308.51,1410,1215
0.031,308.51,1410,1215
0.041,308.51,1410,1215
0.052,308.51,1410,1215
0.062,308.51,1410,1215
0.072,308.51,1410,1215
0.082,308.51,1410,1215
0.093,308.51,1410,1215
0.103,308.51,1410,1215
0.113,309.38,1410,1215
0.124,309.38,1410,1215
0.134,309.38,1410,1215
0.144,309.38,1410,1215
0.154,309.38,1410,1215
0.165,309.38,1410,1215
0.175,309.38,1410,1215
0.185,309.38,1410,1215
0.196,309.38,1410,1215
0.206,309.38,1410,1215
0.216,306.2,1410,1215
0.226,306.2,1410,1215
0.237,306.2,1410,1215
0.247,306.2,1410,1215
0.257,306.2,1410,1215
0.267,306.2,1410,1215
0.277,306.2,1410,1215
0.288,306.2,1410,1215
0.298,306.2,1410,1215
0.308,306.74,1410,1215
0.318,306.74,1410,1215
