elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,185.68,1410,1215
0.01,185.68,1410,1215
0.021,185.68,1410,1215
0.031,185.68,1410,1215
0.041,185.68,1410,1215
0.051,185.68,1410,1215
0.062,185.68,1410,1215
0.072,185.68,1410,1215
0.082,185.68,1410,1215
0.093,185.68,1410,1215
0.103,201.04,1410,1215
0.113,201.04,1410,1215
0.123,201.04,1410,1215
0.134,201.04,1410,1215
0.144,201.04,1410,1215
0.154,201.04,1410,1215
0.165,201.04,1410,1215
0.175,201.04,1410,1215
0.186,201.04,1410,1215
0.196,201.04,1410,1215
0.207,201.04,1410,1215
0.217,201.04,1410,1215
