Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
7129126106,2496,5397,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7129129721,14872525,5401,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7144015974,14787117,5437,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7158804371,2464,5446,,,,,,,,,,0.008,3324.674,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7158807827,14870669,5450,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7173692288,14784557,5486,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7188478061,2496,5495,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7188482669,14864461,5499,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7203360249,14788430,5535,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7218149767,2496,5544,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7218153383,14871084,5548,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7233038387,14785101,5584,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7247824608,2464,5593,,,,,,,,,,0.008,3324.674,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7247828224,14867213,5597,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7262709997,14788173,5633,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7277499450,2464,5642,,,,,,,,,,0.008,3324.674,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7277503258,14867245,5646,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7292383815,14783885,5682,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7307168980,2496,5691,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7307173556,14867436,5695,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
