NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:active_continuous_gemm,PushPop,300662,300662,1,700,10571164168,15101663.1,14869065.5,14781266,19090439,739614.4,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
cuBLAS:cublasGemmEx,PushPop,300662,300662,700,700,10571164168,15101663.1,14869065.5,14781266,19090439,739614.4,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
