model,batch_size,iter_time_without_norm_ms,iter_time_with_norm_ms,total_extra_time_with_norm_ms,norm_self_time_ms,norm_time_gap_ms,norm_time_gap_pct,norm_time_ratio,power_without_norm_watts,power_with_norm_watts,power_delta_watts,clock_without_norm_mhz,clock_with_norm_mhz,clock_increase_without_norm_mhz,clock_increase_without_norm_pct,raw_gemm_without_norm_tflops_s,raw_gemm_with_norm_tflops_s,raw_gemm_delta_pct,effective_without_norm_tflops_s,effective_with_norm_tflops_s,effective_delta_pct
7B,128,0.4740962662699345,0.524248969939724,0.05015270366978952,0.01081600000000003,0.03933670366978949,7.503439381924252,4.636899377754196,257.173698630137,297.1776996805112,40.0040010503742,1410.0,1410.0,0.0,0.0,112.38110837155271,108.25854992774691,-3.668373184375314,109.56278926361598,99.08137600722846,-9.566581251567527
7B,256,0.6095856051511358,0.627798711128286,0.0182131059771502,0.013760999999999968,0.004452105977150234,0.7091613758092725,1.3235307010500867,293.864897260274,389.16809523809525,95.30319797782124,1410.0,1403.9285714285713,6.071428571428669,0.4324599338590759,181.60452470386676,180.147262942009,-0.8024369239885589,170.86206301439256,165.90517347958794,-2.901105984180393
7B,512,1.097626030766562,1.1351037808878814,0.037477750121319486,0.0187829999999999,0.018694750121319586,1.6469639548461816,1.995301608971926,297.1988813559322,391.513322147651,94.31444079171882,1410.0,1389.7147651006712,20.28523489932877,1.4596689485312695,209.59042593066968,207.11596084093122,-1.1806193335171644,190.76064535183275,184.4622963199183,-3.3017025185137028
7B,1024,2.2663370877505757,2.306453480768392,0.04011639301781633,0.037504000000000134,0.0026123930178161975,0.1132645006543068,1.0696563837941604,280.3909556313993,390.5469047619048,110.15594913050546,1410.0,1409.4897959183672,0.5102040816327644,0.03619778469558453,204.9122158630389,204.85731706960073,-0.02679137171347457,186.67243701328894,183.4256232746811,-1.7393107362586715
7B,2048,3.895689420110179,4.099219703704467,0.20353028359428782,0.07689499999999999,0.12663528359428783,3.0892533883911484,2.6468597905492923,304.548843537415,398.497925170068,93.94908163265302,1410.0,1363.5204081632653,46.4795918367347,3.408793264733396,248.93262428718663,242.7154062861782,-2.497550499381633,221.6052437998468,210.60232583577573,-4.965098196867969
7B,4096,7.398167418618801,7.955119869872393,0.5569524512535917,0.18028800000000048,0.37666445125359127,4.734868329012788,3.0892375047345926,320.31616949152544,399.0276530612245,78.71148356969906,1409.949152542373,1336.8877551020407,73.06139744033226,5.465036025762364,277.4351495069312,264.6854058119192,-4.595576197778599,242.67224335066192,225.68231698924717,-7.001182387746037
7B,8192,15.879109571441496,17.094770619058345,1.2156610476168481,0.36969899999999867,0.8459620476168495,4.948659835620823,3.2882454310583813,318.1110508474576,397.91125,79.8001991525424,1410.0,1334.4932432432433,75.50675675675666,5.658084605453019,279.4277158587449,265.4463980523937,-5.003554412411598,243.43541795417494,226.12398618291203,-7.111303653653908
7B,16384,35.516610535393866,38.36251305153546,2.8459025161415923,0.7691560000000026,2.07674651614159,5.413478812901879,3.700032914183316,312.2207482993197,396.40327645051195,84.18252815119223,1410.0,1328.9590443686006,81.04095563139936,6.09807773797142,290.3512003234036,274.2438127933635,-5.547553277582158,248.6325931778859,230.1879172107719,-7.418446524393374
7B,32768,89.66327394062485,96.47270409585607,6.809430155231226,1.548235999999997,5.2611941552312285,5.453557256987077,4.3981861649201015,297.053883161512,398.34632653061226,101.29244336910028,1410.0,1329.030612244898,80.96938775510193,6.092364390187715,291.15091260171477,275.64467832795634,-5.325840862113478,246.0229199562761,228.6576361101455,-7.0584008389205435
13B,128,0.6608996961934148,0.6745278224674239,0.013628126274009111,0.01276800000000003,0.000860126274009082,0.1275153144703118,1.0673657796059743,282.98327645051194,355.0323208191126,72.04904436860068,1410.0,1410.0,0.0,0.0,125.53672194544178,128.69963049352194,2.5195086338599415,123.12126755190172,120.6337316411137,-2.020394981508297
13B,256,0.8067056956134734,0.8575095292077726,0.050803833594299186,0.01558400000000006,0.03521983359429913,4.107223581158064,3.2599995889565574,338.1482935153584,398.5297689768977,60.38147546153931,1410.0,1349.6039603960396,60.39603960396039,4.475093536791137,214.76097418692135,208.55481164603066,-2.889799957551429,202.15198906707252,190.17533380726638,-5.9245794785785515
13B,512,1.4448804474199644,1.5396751218583395,0.09479467443837519,0.022784000000000103,0.07201067443837508,4.677004480754386,4.16058086544833,328.61204778156997,390.27963934426225,61.66759156269228,1410.0,1344.1967213114754,65.80327868852464,4.895360749304848,247.9038454205341,238.10363543931007,-3.9532303198441157,226.6599287053754,212.70493661333052,-6.156797177053875
