run_timestamp_utc,model,prompt_len,variant,replace_ln,status,error_type,error_message,canonical_num_hidden_layers,num_hidden_layers,hidden_size,intermediate_size,parameter_count,parameter_count_with_lm_head,estimated_runtime_memory_gib,warmup,repeat,ttft_ms,prefill_tflops_s,avg_power_watts,max_power_watts,avg_gpu_clock_mhz,max_gpu_clock_mhz,monitor_sample_count,monitor_csv
2026-04-14T17:55:22.063786Z,7B,16,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,21.196478605270386,9.78305847974387,120.39190476190477,132.79,1095.0,1095,21,monitor/7B_prompt16_baseline.csv
2026-04-14T17:55:24.868278Z,7B,16,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,16.08478371053934,12.892084437798559,190.6875,213.5,1410.0,1410,16,monitor/7B_prompt16_replace_ln.csv
2026-04-14T17:55:25.166727Z,7B,32,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,22.117919847369194,18.763121389345397,188.83318181818183,210.58,1410.0,1410,22,monitor/7B_prompt32_baseline.csv
2026-04-14T17:55:25.558173Z,7B,32,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,16.913519520312548,24.536656281242823,207.76529411764707,212.9,1410.0,1410,17,monitor/7B_prompt32_replace_ln.csv
2026-04-14T17:55:25.853776Z,7B,64,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,22.04709341749549,37.69549826992155,194.0581818181818,201.04,1410.0,1410,22,monitor/7B_prompt64_baseline.csv
2026-04-14T17:55:26.239061Z,7B,64,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,16.88413480296731,49.22231322329541,210.5947058823529,216.67,1410.0,1410,17,monitor/7B_prompt64_replace_ln.csv
2026-04-14T17:55:26.534450Z,7B,128,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,22.01680662110448,75.68978278850878,215.84181818181816,263.61,1410.0,1410,22,monitor/7B_prompt128_baseline.csv
2026-04-14T17:55:26.932070Z,7B,128,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,17.01868837699294,97.91866881473784,242.31000000000003,263.61,1410.0,1410,17,monitor/7B_prompt128_replace_ln.csv
2026-04-14T17:55:27.238921Z,7B,256,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,21.55957305803895,155.38686605071024,365.89,381.15,1410.0,1410,21,monitor/7B_prompt256_baseline.csv
2026-04-14T17:55:27.604406Z,7B,256,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,19.915981963276863,168.2103597531476,283.419,293.44,1410.0,1410,20,monitor/7B_prompt256_replace_ln.csv
