unit_index,cuda_start_ms,cuda_end_ms,cuda_duration_ms,monitor_start_s,monitor_end_s,tflops_s
0,0.4505600035190582,255.5924530029297,255.1418914794922,2.002025791555643,2.257167684555054,34.47529910200973
1,255.59654235839844,293.22650146484375,37.62995147705078,2.2571717739105224,2.2948017330169677,233.7524412587254
2,293.2305908203125,330.8728332519531,37.64223861694336,2.2948058223724366,2.332448064804077,233.6761400329879
3,330.8769226074219,368.52020263671875,37.64326477050781,2.332452154159546,2.3700954341888427,233.66977003279038
4,368.5242919921875,406.1737060546875,37.64940643310547,2.3700995235443116,2.4077489376068115,233.63165201121242
5,406.17779541015625,443.5701904296875,37.39238357543945,2.4077530269622804,2.4451454219818114,235.23755859162623
6,443.57427978515625,481.0096740722656,37.43539047241211,2.4451495113372803,2.48258490562439,234.96731064392804
7,481.0137634277344,518.6027221679688,37.588993072509766,2.4825889949798583,2.5201779537200926,234.00714685919354
8,518.6068725585938,556.1927490234375,37.58591842651367,2.5201821041107175,2.5577679805755613,234.02628937764902
9,556.1968383789062,593.7838134765625,37.586944580078125,2.5577720699310302,2.5953590450286868,234.01990027330172
10,593.7879028320312,631.3687133789062,37.5807991027832,2.5953631343841552,2.6329439449310303,234.05816885773908
11,631.372802734375,668.9566650390625,37.5838737487793,2.632948034286499,2.6705318965911866,234.03902112388536
12,668.9607543945312,706.5477294921875,37.586944580078125,2.670535985946655,2.7081229610443116,234.01990027330172
13,706.5518188476562,744.131591796875,37.579776763916016,2.7081270503997805,2.745706823348999,234.06453629213627
14,744.1356811523438,781.7246704101562,37.588993072509766,2.745710912704468,2.7832999019622804,234.00714685919354
15,781.7277221679688,819.3187866210938,37.591041564941406,2.7833029537200926,2.8208940181732176,233.99439483505864
16,819.3228759765625,856.9139404296875,37.591041564941406,2.8208981075286865,2.8584891719818115,233.99439483505864
17,856.9180297851562,894.5008544921875,37.582847595214844,2.8584932613372804,2.8960760860443115,234.04541127234714
18,894.5049438476562,932.0919189453125,37.586944580078125,2.8960801753997805,2.9336671504974365,234.01990027330172
19,932.0960083007812,969.6829223632812,37.586944580078125,2.933671239852905,2.9712581539154055,234.01990027330172
20,969.68701171875,1007.2770385742188,37.59001541137695,2.971262243270874,3.0088522701263427,234.0007825467873
21,1007.2811279296875,1044.864990234375,37.5838737487793,3.0088563594818116,3.046440221786499,234.03902112388536
