elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz
0.0,256.65,1275,1215
0.01,256.65,1275,1215
0.02,256.65,1275,1215
0.031,256.65,1275,1215
0.041,242.82,1305,1215
0.051,242.82,1305,1215
0.061,242.82,1305,1215
0.071,242.82,1305,1215
0.081,242.82,1305,1215
0.092,242.82,1305,1215
0.102,242.82,1305,1215
0.112,242.82,1305,1215
0.122,242.82,1305,1215
0.132,242.82,1305,1215
0.143,250.59,1305,1215
0.153,250.59,1305,1215
0.163,250.59,1305,1215
0.173,250.59,1305,1215
0.183,250.59,1305,1215
0.194,250.59,1305,1215
0.204,250.59,1305,1215
0.214,250.59,1305,1215
0.224,250.59,1305,1215
0.234,250.59,1305,1215
