shape_name,target_gemm_phase_ms,estimated_gemm_unit_ms,requested_gemm_steps,status,error,run_timestamp_utc,m,n,k,dtype,gemm_steps_per_phase,norm_steps_per_phase,cycles,target_active_s,analysis_window_s,probe_cycle_ms,active_cuda_ms,active_wall_s,tail_start_cuda_ms,tail_end_cuda_ms,tail_window_cuda_ms,gemm_phase_count_total,norm_phase_count_total,gemm_phase_count_tail,norm_phase_count_tail,gemm_phase_cuda_total_ms_tail,norm_phase_cuda_total_ms_tail,avg_gemm_phase_ms_tail,avg_norm_phase_ms_tail,gemm_units_tail,norm_units_tail,gemm_flops_per_unit,gemm_tflops_s_tail,avg_power_watts_tail,max_power_watts_tail,min_power_watts_tail,avg_gpu_clock_mhz_tail,max_gpu_clock_mhz_tail,min_gpu_clock_mhz_tail,monitor_sample_count_tail,avg_gemm_phase_power_watts_tail,avg_norm_phase_power_watts_tail,avg_gemm_phase_clock_mhz_tail,avg_norm_phase_clock_mhz_tail,monitor_csv,phase_events_csv,eps,source_run,timing_anomaly_reason
llama13b_s8192,240.0,7.8919677734375,30,ok,,2026-04-29T11:48:29.325150Z,8192,5120,13824,bfloat16,30,1,172,30.0,20.0,262.9201965332031,41792.65234375,41.792786598205566,21792.65234375,41792.65234375,20000.0,172,172,84,85,19845.594131469727,20.497408241033554,236.25707299368722,0.2411459793062771,2520,85,2319282339840.0,294.5032261407011,343.1965562913907,345.37,326.35,1410.0,1410.0,1410.0,1963,343.19076971187025,342.495,1410.0,1410.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/monitor/g30_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T112339Z/llama13b_s8192/phase_events/g30_n1.csv,1e-06,20260429T112339Z,g30 phase 236.257073 ms < g27 phase 237.861740 ms
llama70b_s8192,600.0,29.54376475016276,20,ok,,2026-04-29T09:24:54.892653Z,8192,8192,28672,bfloat16,20,1,78,30.0,20.0,583.5089721679688,43470.42578125,43.47067379951477,23470.42578125,43470.42578125,20000.0,78,78,38,39,19944.803344726562,15.186944127082825,524.8632459138569,0.3894088237713545,760,39,7696581394432.0,293.2794953485922,362.7145338767193,411.94,352.31,1399.2638818135506,1410.0,1260.0,1963,362.3872563039651,0.0,1400.2592179663393,0.0,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T084814Z/llama70b_s8192/monitor/g20_n1.csv,/home/cage/wattserve/results/two_gemm_norm_shape_n1_sweep/20260429T084814Z/llama70b_s8192/phase_events/g20_n1.csv,1e-06,20260429T084814Z,g20 phase 524.863246 ms < g18 phase 528.999871 ms
