shape_name,m,n,k,norm_steps_per_phase,full_clock_threshold_mhz,last_low_gemm_steps,last_low_gemm_phase_ms,last_low_clock_mhz,last_low_tflops_s,first_full_gemm_steps,first_full_gemm_phase_ms,first_full_clock_mhz,first_full_tflops_s,transition_gap_ms
llama7b_s4096,4096,4096,11008,1,1400.0,30,87.04131467061272,1270.4930858806406,254.61507941633204,35,91.4232368119266,1410.0,282.8132543054634,4.381922141313879
llama7b_s8192,8192,4096,11008,1,1400.0,33,190.89767397367038,1268.9773110661267,255.40630081703748,38,197.8144848511951,1410.0,283.82053283684405,6.916810877524711
llama13b_s8192,8192,5120,13824,1,1400.0,27,237.8617401123047,1260.0,263.26479889583806,34,267.84209050358953,1410.0,294.4107828844145,29.980350391284844
llama34b_s8192,8192,8192,22016,1,1400.0,20,445.6648843938654,1244.4136796079185,265.21609425583677,24,471.81324259440106,1410.0,300.6210660878707,26.148358200535654
llama70b_s8192,8192,8192,28672,1,1400.0,18,528.9998713312922,1249.7405891121207,261.8875213544517,22,573.2454690372242,1410.0,295.37920458732617,44.24559770593203
llama70b_s16384,16384,8192,28672,1,1400.0,17,1006.0794645610608,1236.303339517625,260.1024835795224,24,1245.3451385498047,1410.0,296.65343003863285,239.26567398874386
