unit_index,cuda_start_ms,cuda_end_ms,cuda_duration_ms,monitor_start_s,monitor_end_s,tflops_s
0,0.19968000054359436,207.72146606445312,207.52178955078125,2.001564387947321,2.2090861740112304,42.386358758994646
1,207.72454833984375,245.8357696533203,38.11123275756836,2.209089256286621,2.2472004776000976,230.80053794537045
2,245.83987426757812,283.9521179199219,38.11225509643555,2.2472045822143554,2.2853168258666994,230.79434685644347
3,283.95623779296875,322.0664367675781,38.110206604003906,2.285320945739746,2.3234311447143554,230.8067524693994
4,322.0705261230469,360.18585205078125,38.11532974243164,2.3234352340698243,2.361550559997559,230.7757293888975
5,360.18994140625,398.1127624511719,37.92281723022461,2.3615546493530273,2.399477470397949,231.9472461343796
6,398.1168518066406,433.3680725097656,35.25120162963867,2.399481559753418,2.434732780456543,249.52604778193944
7,433.3721618652344,466.24664306640625,32.87449645996094,2.4347368698120118,2.4676113510131836,267.5658631888426
8,466.2497253417969,499.0433349609375,32.79359817504883,2.467614433288574,2.500408042907715,268.2259194387687
9,499.04638671875,532.14208984375,33.095680236816406,2.5004110946655276,2.5335067977905275,265.7776773061464
10,532.1451416015625,565.3145751953125,33.16940689086914,2.5335098495483397,2.56667928314209,265.1869251430415
11,565.3186645507812,598.2279663085938,32.9093132019043,2.5666833724975584,2.599592674255371,267.28278916799195
12,598.2310180664062,630.9979858398438,32.76697540283203,2.5995957260131837,2.632362693786621,268.44384976245806
13,631.0010986328125,663.7230224609375,32.721920013427734,2.63236580657959,2.665087730407715,268.81347483883724
14,663.7271118164062,696.37939453125,32.652286529541016,2.6650918197631834,2.697744102478027,269.3867400143644
15,696.3834838867188,729.3255615234375,32.942081451416016,2.697748191833496,2.730690269470215,267.01691680232005
16,729.32861328125,762.4110107421875,33.082366943359375,2.7306933212280273,2.763775718688965,265.8846338675788
17,762.4151000976562,795.2077026367188,32.79257583618164,2.7637798080444336,2.7965724105834964,268.2342816297719
18,795.2117919921875,827.931640625,32.719871520996094,2.796576499938965,2.8292963485717775,268.8303044394173
19,827.9357299804688,860.65869140625,32.72294235229492,2.829300437927246,2.8620233993530273,268.80507649676906
20,860.6627807617188,893.4194946289062,32.756736755371094,2.862027488708496,2.894784202575684,268.527756226075
21,893.422607421875,926.181396484375,32.758785247802734,2.894787315368652,2.927546104431152,268.51096448388574
22,926.1854858398438,958.9462890625,32.760833740234375,2.927550193786621,2.9603109970092776,268.49417484162814
23,958.9503784179688,991.710205078125,32.75980758666992,2.960315086364746,2.9930749130249024,268.50258503310505
24,991.7142944335938,1024.4464111328125,32.73215866088867,2.9930790023803713,3.0258111190795898,268.7293897520533
25,1024.4505615234375,1056.8416748046875,32.39116668701172,3.0258152694702147,3.058206382751465,271.55838834712546
26,1056.8448486328125,1089.2574462890625,32.41267013549805,3.05820955657959,3.09062215423584,271.37822911339236
27,1089.260498046875,1122.008056640625,32.747520446777344,3.0906252059936525,3.123372764587402,268.6033294185977
28,1122.0111083984375,1154.7740478515625,32.76287841796875,3.1233758163452148,3.15613875579834,268.4774185586757
29,1154.777099609375,1187.546142578125,32.76902389526367,3.1561418075561525,3.1889108505249024,268.4270685120822
30,1187.5501708984375,1220.3131103515625,32.76287841796875,3.188914878845215,3.22167781829834,268.4774185586757
31,1220.316162109375,1253.0770263671875,32.760833740234375,3.2216808700561526,3.254441734313965,268.49417484162814
32,1253.0810546875,1285.844970703125,32.7639045715332,3.254445762634277,3.2872096786499023,268.4690099436577
33,1285.84912109375,1318.619140625,32.77004623413086,3.2872138290405273,3.3199838485717774,268.41869429670317
34,1318.6221923828125,1351.383056640625,32.760833740234375,3.3199869003295897,3.352747764587402,268.49417484162814
35,1351.3870849609375,1384.6343994140625,33.247230529785156,3.352751792907715,3.3859991073608398,264.56618737996405
36,1384.637451171875,1418.1949462890625,33.55750274658203,3.3860021591186524,3.4195596542358397,262.1200119876
37,1418.197998046875,1451.37353515625,33.17555236816406,3.4195627059936524,3.4527382431030276,265.137801613483
38,1451.377685546875,1484.5552978515625,33.1776008605957,3.4527423934936525,3.4859200057983397,265.1214311476911
