NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:active_continuous_gemm,PushPop,352808,352808,1,700,13145082329,18778689.0,18756646.5,18540759,18835797,40443.6,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
cuBLAS:cublasGemmEx,PushPop,352808,352808,700,700,13145082329,18778689.0,18756646.5,18540759,18835797,40443.6,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
