Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
12458842530,18738815,11562,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12477582625,3040,11571,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12477587873,18815390,11575,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12496419007,18737790,11611,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12515158333,3008,11620,,,,,,,,,,0.008,2723.398,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12515162589,18819998,11624,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12533997755,18737534,11660,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12552736601,3040,11669,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12552740889,18816094,11673,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12571572887,18739455,11709,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12590313526,3040,11718,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12590318038,18822366,11722,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12609156308,18738590,11758,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12627896178,3008,11767,,,,,,,,,,0.008,2723.398,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12627901490,18817982,11771,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
