NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:active_continuous_gemm,PushPop,346754,346754,1,700,11123100830,15890144.0,15837387.0,15763785,17221779,230023.1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
cuBLAS:cublasGemmEx,PushPop,346754,346754,700,700,11123100830,15890144.0,15837387.0,15763785,17221779,230023.1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
