mode,workload,case_kind,steps_per_run,repeat,total_time_s,iter_time_ms,probe_iter_ms,gemm_time_s,gemm_iter_time_ms,gemm_step_time_ms,gemm_tflops_s,gemm_flops_per_iter,description,monitor_csv,avg_power_watts,max_power_watts,avg_gpu_clock_mhz,max_gpu_clock_mhz,monitor_sample_count
fixed_replay,mlp_silu,mlp,40,3,1.7344747659517452,578.1582553172484,578.0412680003792,1.5555061836242676,518.5020612080891,12.96255153020223,268.3826175467265,139156940390400.0,fixed input replay: each MLP reads the same hidden source tensor; MLP output is not fed back; gate + up -> silu_and_mul -> down,results/gemm_replay_vs_chain/latest/a100_40g_sxm/monitor/fixed_replay__mlp_silu__steps=40.csv,400.97189349112426,405.44,1289.112426035503,1290.0,169
fixed_replay,mlp_silu_fused_add_norm,mlp,40,3,1.7606834439793602,586.8944813264534,587.0196550968103,1.553214472770691,517.7381575902303,12.943453939755758,268.7786062323367,139156940390400.0,fixed input replay: each MLP reads the same hidden source tensor; MLP output is not fed back; gate + up -> silu_and_mul -> down -> fused_add_rmsnorm,results/gemm_replay_vs_chain/latest/a100_40g_sxm/monitor/fixed_replay__mlp_silu_fused_add_norm__steps=40.csv,392.1127167630058,402.27,1290.0,1290.0,173
state_chain,mlp_silu,mlp,40,4,2.128095802036114,532.0239505090285,532.0169057929888,1.8998548560142516,474.9637140035629,11.874092850089074,292.9843613050325,139156940390400.0,"state-carrying chain: each MLP output becomes the next hidden input, including across outer repeat iterations; gate + up -> silu_and_mul -> down",results/gemm_replay_vs_chain/latest/a100_40g_sxm/monitor/state_chain__mlp_silu__steps=40.csv,316.98889423076923,319.96,1410.0,1410.0,208
state_chain,mlp_silu_fused_add_norm,mlp,40,3,1.7559165020938963,585.3055006979654,585.8937938930467,1.5447019500732422,514.9006500244141,12.872516250610351,270.259787754787,139156940390400.0,"state-carrying chain: each MLP output becomes the next hidden input, including across outer repeat iterations; gate + up -> silu_and_mul -> down -> fused_add_rmsnorm",results/gemm_replay_vs_chain/latest/a100_40g_sxm/monitor/state_chain__mlp_silu_fused_add_norm__steps=40.csv,398.39468208092484,415.27,1295.4624277456646,1305.0,173
