gemm_steps,norm_steps,gemm_ms,norm_ms,gemm_norm_time_ratio,clock_mhz,gemm_tflops_s
1,8,32.933267596832884,3.174908349229971,10.372982138152233,1267.3372513562388,267.0883779249982
2,8,66.70463108516239,3.177807392558985,20.990772203927477,1252.2477522477523,263.7326038420915
4,8,134.05852818982353,3.17996883392334,42.1571830389377,1245.3455854490337,262.4553063794032
8,8,266.46125422297297,3.176134017308553,83.89483969217756,1252.7096327096328,264.0862153969294
12,8,398.6597090740593,3.174973497390747,125.56316120486845,1255.9566326530612,264.76996261211673
16,8,531.9494282490498,3.1753701536278975,167.52359646679028,1255.3990311065784,264.5693009175246
20,8,592.5882438890861,3.1800018689211678,186.34839484862465,1410.0,296.8703180636959
22,8,651.938954671224,3.1801805957671134,205.00060768214493,1410.0,296.82847619707906
24,8,711.3205362955729,3.1805439506258284,223.64744752406517,1410.0,296.78073633638445
32,8,948.4009079706101,3.1803577704863115,298.20572917039743,1410.0,296.7890207032347
48,8,1421.2191162109375,3.180134344100952,446.90537016062035,1410.0,297.077671029102
64,8,1894.5032104492188,3.179799188267101,595.7933499195805,1410.0,297.1491155656722
1,16,32.629532031714916,6.3580459182025395,5.132006350929201,1278.02490234375,269.57459928197756
2,16,66.20776974764738,6.365818405496901,10.400511847852398,1260.6454545454546,265.7118056002954
4,16,133.77959990165604,6.366952696046629,21.0115586353771,1248.041905277821,263.00252142102914
8,16,266.03365587208367,6.362181148013553,41.81485086370838,1255.5851188385434,264.5106836087658
12,16,398.9877232142857,6.361251802444458,62.721573615583885,1255.784929356358,264.552291023266
16,16,532.2471379460516,6.363809623216328,83.63655883172837,1255.131163456635,264.4213154408604
20,16,592.6245191169508,6.370002844754388,93.03363492293714,1410.0,296.85214629036113
22,16,651.9099080403646,6.36852022909349,102.36442447999556,1410.0,296.8417017472208
24,16,711.2657719364872,6.370596545083182,111.64822115213703,1410.0,296.8035871573514
32,16,948.2917327880859,6.369865122295561,148.87155608191938,1410.0,296.8231895084516
48,16,1421.0086931501116,6.370372263590495,223.0652518176696,1410.0,297.1216623101845
64,16,1894.4897094726562,6.370769414034757,297.3721989213908,1410.0,297.15123318247674
1,32,31.97135540409643,12.726441130042076,2.5121992140147293,1301.9183445190156,275.1241826013099
2,32,65.58272259282131,12.739695992320776,5.1479032649094,1270.8081232492998,268.24421660014525
4,32,132.62659649257242,12.741394540537959,10.409111504286935,1258.6983636801156,265.2889617868046
8,32,265.0193083021376,12.731932467884487,20.81532469408178,1262.3079772079773,265.52308444424546
12,32,398.0027510325114,12.730388874910316,31.263990043298286,1258.2335737179487,265.2070016919902
16,32,531.3766665988499,12.732471337189546,41.73397705179058,1256.9459444397014,264.8544755571181
20,32,592.4774280894886,12.751450286192053,46.46353275839177,1410.0,296.925844097454
22,32,651.8071695963541,12.753292329849735,51.10893350031395,1410.0,296.88849020855935
24,32,711.155596697772,12.752310820988246,55.766802321609404,1410.0,296.84956922684285
32,32,948.2013671875,12.751237914675759,74.36151482172474,1410.0,296.85147738771013
48,32,1420.886493389423,12.752968992505755,111.41613331173336,1410.0,297.14721550968255
64,32,1894.6033569335937,12.750103256919168,148.59513831038498,1410.0,297.1334086161674
1,64,31.132843141852966,25.47073524734454,1.222298564981501,1325.4036827195469,282.53420293577705
2,64,64.43230792208834,25.486106436348816,2.528134616521637,1286.7487129987128,273.0336163914616
4,64,131.42399777389886,25.48469591140747,5.156977278864481,1272.4810720775288,267.71649534937296
8,64,263.84989464801293,25.470551790509905,10.359017614464127,1267.7053511705685,266.6999138716311
12,64,397.0522532361619,25.472341338793438,15.58758372287772,1262.9963928848308,265.84187699777203
16,64,530.9271153041294,25.472455077701145,20.843185852505776,1258.671460892049,265.07873547710926
20,64,592.4485149383545,25.517117991591945,23.217689205088526,1410.0,296.94033491241856
22,64,651.2809763941272,25.513437906901043,25.526978322978746,1410.0,297.1283570418148
24,64,711.0075367115162,25.51610517501831,27.865049616100197,1410.0,296.911385087956
32,64,948.0927764892579,25.518372490292503,37.15334027865311,1410.0,296.8854775509885
48,64,1420.882784329928,25.51178973061698,55.695143278196234,1410.0,297.1479911800709
64,64,1894.5645629882813,25.518638264049184,74.24238485551777,1410.0,297.1394928517905
1,128,30.321888791836376,50.963476847826946,0.5949729231067814,1352.8556910569105,290.0905376506819
2,128,63.3392197839145,50.969676099504746,1.242684369040555,1311.0529556650247,277.74554382628617
4,128,130.55891057794744,50.97346326654608,2.5613113610750746,1297.9860139860139,269.490392751293
8,128,263.25845385354665,50.95755231380463,5.166230360366598,1279.8468864468864,267.2990863070663
12,128,396.28720925071025,50.95824508666992,7.77670440920216,1269.1893632683107,266.35509247465535
16,128,529.0483990837546,50.96129084995815,10.381377517327724,1266.8616915091827,266.0200628129064
20,128,592.4444855720766,51.037888169288635,11.607934944466846,1410.0,296.9423544794855
22,128,651.2279074532645,51.03778444487473,12.759721342462418,1410.0,297.1525702044082
24,128,711.0092045710637,51.03873895715784,13.930775311041447,1410.0,296.91068860402135
32,128,948.2057189941406,51.03790092468262,18.57846231555294,1410.0,296.85011498269114
