elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz,temperature_c
2.008,56.28,1095,1215,25
2.018,56.28,1095,1215,25
2.028,56.28,1095,1215,25
2.038,56.28,1095,1215,25
2.048,56.28,1095,1215,25
2.059,56.28,1095,1215,25
2.069,56.28,1095,1215,25
2.079,56.28,1095,1215,25
2.089,56.28,1095,1215,25
2.099,56.28,1095,1215,25
2.11,56.28,1095,1215,25
2.12,56.28,1095,1215,25
2.13,56.28,1095,1215,25
2.14,56.28,1095,1215,25
2.15,56.28,1095,1215,25
2.161,56.28,1095,1215,25
2.171,56.28,1095,1215,25
2.181,56.28,1095,1215,25
2.191,56.6,1095,1215,27
2.201,56.6,1095,1215,27
2.211,56.6,1095,1215,27
2.222,56.6,1095,1215,27
2.232,56.6,1095,1215,27
2.242,56.6,1095,1215,27
2.252,56.6,1095,1215,27
2.262,56.6,1095,1215,27
2.273,56.6,1095,1215,27
2.283,56.6,1095,1215,27
2.293,260.71,1095,1215,32
2.303,260.71,1095,1215,32
2.313,260.71,1095,1215,32
2.323,260.71,1095,1215,32
2.334,260.71,1095,1215,32
2.344,260.71,1095,1215,32
2.354,260.71,1095,1215,32
2.364,260.71,1095,1215,32
2.374,260.71,1095,1215,32
2.385,260.71,1095,1215,32
2.395,260.71,1095,1215,32
2.405,260.71,1095,1215,32
2.415,260.71,1095,1215,32
2.425,298.96,1095,1215,35
2.436,298.96,1095,1215,35
2.446,298.96,1095,1215,35
2.456,298.96,1095,1215,35
2.466,298.96,1095,1215,35
2.476,298.96,1095,1215,35
2.486,298.96,1275,1215,35
2.497,298.96,1275,1215,38
2.507,298.96,1275,1215,38
2.517,298.96,1275,1215,38
2.527,298.96,1275,1215,38
2.537,298.96,1275,1215,38
2.548,298.96,1275,1215,38
2.558,298.96,1275,1215,38
2.568,298.96,1275,1215,38
2.578,298.96,1275,1215,38
2.588,298.96,1275,1215,38
2.598,298.96,1275,1215,38
2.609,298.96,1275,1215,38
2.619,298.96,1260,1215,38
2.629,398.63,1260,1215,41
2.639,398.63,1260,1215,41
2.649,398.63,1260,1215,41
2.66,398.63,1260,1215,41
2.67,398.63,1260,1215,41
2.68,398.63,1260,1215,41
2.69,398.63,1290,1215,41
2.7,398.63,1290,1215,41
2.711,398.63,1290,1215,41
2.721,398.63,1290,1215,41
2.731,398.63,1290,1215,41
2.741,398.63,1290,1215,41
2.751,398.63,1290,1215,41
2.761,398.63,1290,1215,41
2.772,398.63,1290,1215,41
2.782,398.63,1290,1215,41
2.792,402.08,1275,1215,43
2.802,402.08,1275,1215,43
2.812,402.08,1275,1215,43
2.823,402.08,1275,1215,43
2.833,402.08,1275,1215,43
2.843,402.08,1275,1215,43
2.853,402.08,1275,1215,43
2.863,402.08,1275,1215,43
2.874,402.08,1275,1215,43
2.884,402.08,1275,1215,43
2.894,410.22,1275,1215,43
2.904,410.22,1275,1215,43
2.914,410.22,1275,1215,43
2.924,410.22,1275,1215,43
2.935,410.22,1275,1215,43
2.945,410.22,1275,1215,43
2.955,410.22,1275,1215,43
2.965,410.22,1275,1215,43
2.975,410.22,1275,1215,43
2.986,410.22,1275,1215,43
2.996,410.22,1275,1215,43
3.006,410.22,1275,1215,43
3.016,410.22,1275,1215,43
3.026,410.22,1275,1215,43
3.037,395.45,1275,1215,44
3.047,395.45,1275,1215,44
3.057,395.45,1275,1215,44
3.067,395.45,1275,1215,44
3.077,395.45,1275,1215,44
3.087,395.45,1290,1215,44
3.098,395.45,1290,1215,45
3.108,395.45,1290,1215,45
3.118,395.45,1290,1215,45
3.128,395.45,1290,1215,45
3.138,395.45,1290,1215,45
3.149,395.45,1290,1215,45
3.159,395.45,1290,1215,45
3.169,395.45,1290,1215,45
3.179,395.45,1290,1215,45
3.189,395.45,1290,1215,45
3.2,395.45,1290,1215,45
3.21,395.45,1290,1215,45
3.22,395.45,1290,1215,45
3.23,395.45,1275,1215,45
3.24,401.54,1275,1215,45
3.25,401.54,1275,1215,45
