elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz,temperature_c
0.002,57.8,1110,1215,30
0.012,58.12,1110,1215,30
0.022,58.12,1110,1215,30
0.032,58.12,1110,1215,30
0.042,58.12,1110,1215,30
0.053,58.12,1110,1215,30
0.063,58.12,1110,1215,30
0.073,58.12,1110,1215,30
0.083,58.12,1110,1215,30
0.093,58.12,1110,1215,30
0.104,58.12,1110,1215,30
0.114,61.31,1110,1215,30
0.124,61.31,1110,1215,30
0.134,61.31,1110,1215,30
0.144,61.31,1110,1215,30
0.155,61.31,1110,1215,30
0.165,61.31,1110,1215,30
0.175,61.31,1110,1215,30
0.185,61.31,1110,1215,30
0.195,61.31,1110,1215,30
0.206,61.31,1110,1215,30
0.216,57.2,1110,1215,30
0.226,57.2,1110,1215,30
0.236,57.2,1110,1215,30
0.246,57.2,1110,1215,30
0.257,57.2,1110,1215,30
0.267,57.2,1110,1215,30
0.277,57.2,1110,1215,30
0.287,57.2,1110,1215,30
0.297,57.2,1110,1215,30
0.308,57.2,1110,1215,30
0.318,57.2,1110,1215,30
0.328,57.2,1110,1215,30
0.338,57.2,1110,1215,30
0.348,57.2,1110,1215,30
0.359,57.2,1110,1215,30
0.369,57.2,1110,1215,30
0.379,57.2,1110,1215,30
0.389,57.2,1110,1215,30
0.399,57.2,1110,1215,30
0.41,57.53,1110,1215,30
0.42,57.53,1110,1215,30
0.43,57.53,1110,1215,30
0.44,57.53,1110,1215,30
0.45,57.53,1110,1215,30
0.461,57.53,1110,1215,30
0.471,57.53,1110,1215,30
0.481,57.53,1110,1215,30
0.491,57.53,1110,1215,30
0.501,57.53,1110,1215,30
0.512,57.2,1110,1215,30
0.522,57.2,1110,1215,30
0.532,57.2,1110,1215,30
0.542,57.2,1110,1215,30
0.553,57.2,1110,1215,30
0.563,57.2,1110,1215,30
0.573,57.2,1110,1215,30
0.583,57.2,1110,1215,30
0.593,57.2,1110,1215,30
0.604,57.2,1110,1215,30
0.614,57.2,1110,1215,30
0.624,57.2,1110,1215,30
0.634,57.2,1110,1215,30
0.644,57.2,1110,1215,30
0.655,57.2,1110,1215,30
0.665,57.2,1110,1215,30
0.675,57.2,1110,1215,30
0.685,57.2,1110,1215,30
0.695,57.2,1110,1215,30
0.706,57.2,1110,1215,30
0.716,57.2,1110,1215,30
0.726,57.2,1110,1215,30
0.736,57.2,1110,1215,30
0.746,57.2,1110,1215,30
0.757,57.2,1110,1215,30
0.767,57.2,1110,1215,30
0.777,57.2,1110,1215,30
0.787,57.2,1110,1215,30
0.797,57.2,1110,1215,30
0.808,57.2,1110,1215,30
0.818,57.2,1110,1215,30
0.828,57.2,1110,1215,30
0.838,57.2,1110,1215,30
0.848,57.2,1110,1215,30
0.859,57.2,1110,1215,30
0.869,57.2,1110,1215,30
0.879,57.2,1110,1215,30
0.889,57.2,1110,1215,30
0.9,57.2,1110,1215,30
0.91,57.53,1110,1215,30
0.92,57.53,1110,1215,30
0.93,57.53,1110,1215,30
0.94,57.53,1110,1215,30
0.951,57.53,1110,1215,30
0.961,57.53,1110,1215,30
0.971,57.53,1110,1215,30
0.981,57.53,1110,1215,30
0.991,57.53,1110,1215,30
1.002,57.53,1110,1215,30
1.012,57.2,1110,1215,30
1.022,57.2,1110,1215,30
1.032,57.2,1110,1215,30
1.042,57.2,1110,1215,30
1.053,57.2,1110,1215,30
1.063,57.2,1110,1215,30
1.073,57.2,1110,1215,30
1.083,57.2,1110,1215,30
1.093,57.2,1110,1215,30
1.104,57.2,1110,1215,30
1.114,57.26,1110,1215,30
1.124,57.26,1110,1215,30
1.134,57.26,1110,1215,30
1.144,57.26,1110,1215,30
1.155,57.26,1110,1215,30
1.165,57.26,1110,1215,30
1.175,57.26,1110,1215,30
1.185,57.26,1110,1215,30
1.195,57.26,1110,1215,30
1.206,57.2,1110,1215,30
1.216,57.2,1110,1215,30
1.226,57.2,1110,1215,30
1.236,57.2,1110,1215,30
1.246,57.2,1110,1215,30
1.257,57.2,1110,1215,30
1.267,57.2,1110,1215,30
1.277,57.2,1110,1215,30
1.287,57.2,1110,1215,30
1.297,57.2,1110,1215,30
1.308,57.2,1110,1215,30
1.318,57.2,1110,1215,30
1.328,57.2,1110,1215,30
