run_timestamp_utc,model,prompt_len,variant,replace_ln,status,error_type,error_message,canonical_num_hidden_layers,num_hidden_layers,hidden_size,intermediate_size,parameter_count,parameter_count_with_lm_head,estimated_runtime_memory_gib,warmup,repeat,ttft_ms,prefill_tflops_s,avg_power_watts,max_power_watts,avg_gpu_clock_mhz,max_gpu_clock_mhz,monitor_sample_count,monitor_csv
2026-04-24T09:57:46.374402Z,7B,16,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,16.619822598295286,12.477051938043537,131.60250000000002,132.78,765.0,765,16,monitor/7B_prompt16_baseline.csv
2026-04-24T09:57:48.450003Z,7B,16,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,13.083410199033096,15.849567246261605,178.7753846153846,233.41,1405.3846153846155,1410,13,monitor/7B_prompt16_replace_ln.csv
2026-04-24T09:57:48.688470Z,7B,32,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,16.367782099405304,25.35476171759877,184.365,216.94,1410.0,1410,16,monitor/7B_prompt32_baseline.csv
2026-04-24T09:57:48.987428Z,7B,32,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,13.00493209855631,31.9110635742627,235.7569230769231,239.11,1410.0,1410,13,monitor/7B_prompt32_replace_ln.csv
2026-04-24T09:57:49.226965Z,7B,64,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,16.686608700547367,49.804977553571945,228.44647058823531,243.57,1410.0,1410,17,monitor/7B_prompt64_baseline.csv
2026-04-24T09:57:49.526847Z,7B,64,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,13.063201197655872,63.61964109724749,226.33153846153846,253.4,1410.0,1410,13,monitor/7B_prompt64_replace_ln.csv
2026-04-24T09:57:49.762611Z,7B,128,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,17.075362300965935,97.59367218543473,255.56705882352944,268.06,1309.4117647058824,1410,17,monitor/7B_prompt128_baseline.csv
2026-04-24T09:57:50.067192Z,7B,128,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,15.687375798006542,106.22855806512662,248.925,251.59,1378.125,1380,16,monitor/7B_prompt128_replace_ln.csv
2026-04-24T09:57:50.349010Z,7B,256,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,24.701536999782547,135.6221068717097,256.9076,260.18,1176.0,1185,25,monitor/7B_prompt256_baseline.csv
2026-04-24T09:57:50.761272Z,7B,256,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,20.930470299208537,160.05729651505632,258.18809523809523,270.19,1333.5714285714287,1335,21,monitor/7B_prompt256_replace_ln.csv
2026-04-24T09:57:51.121336Z,7B,512,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,44.454490300267935,152.26512356289916,251.28022727272727,257.24,1146.8181818181818,1155,44,monitor/7B_prompt512_baseline.csv
2026-04-24T09:57:51.825742Z,7B,512,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,37.55060889816377,180.25988544827558,247.52131578947368,258.37,1320.0,1320,38,monitor/7B_prompt512_replace_ln.csv
2026-04-24T09:57:52.441103Z,7B,1024,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,89.28861249878537,154.6962645894391,248.74454545454546,256.58,1179.8863636363637,1185,88,monitor/7B_prompt1024_baseline.csv
2026-04-24T09:57:53.819364Z,7B,1024,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,76.1406806006562,181.40913260784487,239.42799999999997,270.93,1348.0,1365,75,monitor/7B_prompt1024_replace_ln.csv
2026-04-24T09:57:55.008937Z,7B,2048,baseline,False,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,162.00996309926268,177.30231354999134,248.8035625,257.59,1118.53125,1125,160,monitor/7B_prompt2048_baseline.csv
2026-04-24T09:57:57.488085Z,7B,2048,replace_ln,True,ok,,,32,32,4096,11008,6607351808,6738423808,12.551292419433594,5,10,136.07490650028922,211.09506531674117,238.65805970149253,293.36,1310.8208955223881,1335,134,monitor/7B_prompt2048_replace_ln.csv
